,has_media,hashtags,img_urls,is_replied,is_reply_to,likes,links,parent_tweet_id,replies,reply_to_users,retweets,screen_name,text,text_html,timestamp,timestamp_epochs,tweet_id,tweet_url,user_id,username,video_url
0,False,[],[],True,False,19,[],,1,[],4,cmbezares,"Las noticias del contagio PNC, Huehue y Zacapa avisan nubarrones en el horizonte, ojalá que la decisión de Giammattei sea la correcta, sin presiones de doña chonita, viendo frio que tiene bajo nivel de pruebas y que va en ascenso la curva","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Las noticias del contagio PNC, Huehue y Zacapa avisan nubarrones en el horizonte, ojalá que la decisión de <strong>Giammattei</strong> sea la correcta, sin presiones de doña chonita, viendo frio que tiene bajo nivel de pruebas y que va en ascenso la curva</p>",2020-05-03 23:59:30,1588550370,1257097482900844545,/cmbezares/status/1257097482900844545,308079133,Carlos Bezares,
1,True,[],['https://pbs.twimg.com/media/EXIbReeWoAEnrl1.jpg'],False,False,7,[],,0,[],5,SerDeGuate,Yo desde ahorita esperando la Cadena Nacional Giammattei pic.twitter.com/I7j9NYyBnI,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Yo desde ahorita esperando la Cadena Nacional <strong>Giammattei</strong> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/I7j9NYyBnI"">pic.twitter.com/I7j9NYyBnI</a></p>",2020-05-03 23:58:32,1588550312,1257097240369299456,/SerDeGuate/status/1257097240369299456,1104745287204122625,Ser de Guate,
2,True,[],['https://pbs.twimg.com/media/EXIbQLpWkAY1QP-.jpg'],True,False,10,[],,1,[],0,MissLinfocita,En espera de lo que dirá Giammattei. pic.twitter.com/6Zic1YOppO,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">En espera de lo que dirá <strong>Giammattei</strong>. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/6Zic1YOppO"">pic.twitter.com/6Zic1YOppO</a></p>",2020-05-03 23:58:26,1588550306,1257097215828537344,/MissLinfocita/status/1257097215828537344,3486915014,Señorita S...,
3,False,[],[],False,False,33,['https://twitter.com/lahoragt/status/1257026426097762309'],,0,[],10,PabloFerpecto,"Si Giammattei relaja las medidas de aislamiento, va a obligar a muchas personas a salir para conservar sus empleos y otras por causas no esenciales.

Estos comunicados serán la norma y cada día tendremos pequeños focos de contagios que no se podrán rastrear.

Epidemia x 1000. https://twitter.com/lahoragt/status/1257026426097762309 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Si <strong>Giammattei</strong> relaja las medidas de aislamiento, va a obligar a muchas personas a salir para conservar sus empleos y otras por causas no esenciales.

Estos comunicados serán la norma y cada día tendremos pequeños focos de contagios que no se podrán rastrear.

Epidemia x 1000. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/lahoragt/status/1257026426097762309"" dir=""ltr"" href=""https://t.co/shJZlIqxgR"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/lahoragt/status/1257026426097762309""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/lahoragt/statu</span><span class=""invisible"">s/1257026426097762309</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-05-03 23:57:43,1588550263,1257097034387132417,/PabloFerpecto/status/1257097034387132417,329216652,JuanPablo HP,
4,False,[],[],False,True,3,[],1257096414338912256,0,"[{'screen_name': 'Alex_balsells', 'user_id': '450859699'}]",0,rub1sol,Giammattei es el mejor presi del mundo🤣🤣,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Giammattei</strong> es el mejor presi del mundo<img alt=""🤣"" aria-label=""Emoji: Rodando por el suelo de risa"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f923.png"" title=""Rodando por el suelo de risa""/><img alt=""🤣"" aria-label=""Emoji: Rodando por el suelo de risa"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f923.png"" title=""Rodando por el suelo de risa""/></p>",2020-05-03 23:56:36,1588550196,1257096754832572416,/rub1sol/status/1257096754832572416,861422169980624896,Luna🌒🌓🌔🌕🌖,
5,False,[],[],True,False,41,['https://twitter.com/DrGiammattei/status/1257094102128214017'],,2,[],4,Guatevision_tv,El presidente Alejandro Giammattei anuncia que informará sobre las disposiciones que serán vigentes la próxima semana. https://twitter.com/DrGiammattei/status/1257094102128214017 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">El presidente Alejandro <strong>Giammattei</strong> anuncia que informará sobre las disposiciones que serán vigentes la próxima semana. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/DrGiammattei/status/1257094102128214017"" dir=""ltr"" href=""https://t.co/pB6U9y5ggI"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/DrGiammattei/status/1257094102128214017""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/DrGiammattei/s</span><span class=""invisible"">tatus/1257094102128214017</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-05-03 23:55:21,1588550121,1257096441358581761,/Guatevision_tv/status/1257096441358581761,43971175,Guatevisión,
6,True,"['AlertaCovid19', 'Guatemala']",['https://pbs.twimg.com/media/EXIabArUEAAAxcM.jpg'],False,False,6,[],,0,[],1,stereo100xela,"#AlertaCovid19
El presidente de #Guatemala, Alejandro Giammattei, hablará hoy, a las 19 horas, en cadena nacional, sobre actualización de la emergencia generada por el Covid-19.

Vía @FCastellanos25pic.twitter.com/qs3In5Iguc","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AlertaCovid19?src=hash""><s>#</s><b>AlertaCovid19</b></a>
El presidente de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Guatemala?src=hash""><s>#</s><b>Guatemala</b></a>, Alejandro <strong>Giammattei</strong>, hablará hoy, a las 19 horas, en cadena nacional, sobre actualización de la emergencia generada por el Covid-19.

Vía <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""149749987"" dir=""ltr"" href=""/FCastellanos25""><s>@</s><b>FCastellanos25</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/qs3In5Iguc"">pic.twitter.com/qs3In5Iguc</a></p>",2020-05-03 23:54:48,1588550088,1257096302283939841,/stereo100xela/status/1257096302283939841,149595717,Stereo100Noticias,
7,False,[],[],False,False,0,[],,0,[],0,jousecarlos,"Bueno y ya estarán listos todos los hospitales temporales para atender a pacientes contagiados? Digo, si Giammattei quiere liberar de restricciones mínimo que esté preparado para lo peor.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Bueno y ya estarán listos todos los hospitales temporales para atender a pacientes contagiados? Digo, si <strong>Giammattei</strong> quiere liberar de restricciones mínimo que esté preparado para lo peor.</p>",2020-05-03 23:54:18,1588550058,1257096174022144001,/jousecarlos/status/1257096174022144001,66028904,Jose Carlos,
8,False,[],[],True,False,44,['https://twitter.com/DrGiammattei/status/1257094102128214017'],,6,[],6,prensa_libre,El presidente Alejandro Giammattei confirma que dará a conocer las disposiciones que serán vigentes la semana entrante. https://twitter.com/DrGiammattei/status/1257094102128214017 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">El presidente Alejandro <strong>Giammattei</strong> confirma que dará a conocer las disposiciones que serán vigentes la semana entrante. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/DrGiammattei/status/1257094102128214017"" dir=""ltr"" href=""https://t.co/bnwyTasU6H"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/DrGiammattei/status/1257094102128214017""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/DrGiammattei/s</span><span class=""invisible"">tatus/1257094102128214017</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-05-03 23:53:49,1588550029,1257096055142977536,/prensa_libre/status/1257096055142977536,38687143,Prensa Libre,
9,False,"['essarcasmo', 'COVID19gt', 'informedegobierno']",[],True,False,1,[],,2,[],0,jsservent,Mañana todos en manada a los C.C ya que el Doc Giammattei autorizó re activar la economía!! Todos en manada a salvar la economía ! Por Guate vamos a consumir. #essarcasmo #COVID19gt #informedegobierno,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Mañana todos en manada a los C.C ya que el Doc <strong>Giammattei</strong> autorizó re activar la economía!! Todos en manada a salvar la economía ! Por Guate vamos a consumir. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/essarcasmo?src=hash""><s>#</s><b>essarcasmo</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19gt?src=hash""><s>#</s><b>COVID19gt</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/informedegobierno?src=hash""><s>#</s><b>informedegobierno</b></a></p>",2020-05-03 23:53:22,1588550002,1257095938436456450,/jsservent/status/1257095938436456450,262270831,Javier Santiago,
10,True,"['coronavirus', 'Giammattei', 'QuédateenCasapic']",['https://pbs.twimg.com/media/EXIZsdBXYAIeqSR.jpg'],False,False,0,[],,0,[],1,FactorGuatemala,"#coronavirus | ¡ATENCIÓN FANÁTICOS! A las 19 horas, el presidente Alejandro #Giammattei anunciará, en Cadena Nacional, las nuevas disposiciones que entrarán en vigencia la próxima semana #QuédateenCasapic.twitter.com/RxWkcrEKQf","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b>coronavirus</b></a> | ¡ATENCIÓN FANÁTICOS! A las 19 horas, el presidente Alejandro <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Giammattei?src=hash""><s>#</s><b><strong>Giammattei</strong></b></a> anunciará, en Cadena Nacional, las nuevas disposiciones que entrarán en vigencia la próxima semana <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Qu%C3%A9dateenCasa?src=hash""><s>#</s><b>QuédateenCasa</b></a><a dir=""ltr"" href=""/hashtag/Qu%C3%A9dateenCasa?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/StayHome_2020/StayHome_2020.png""/></a></span><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/RxWkcrEKQf"">pic.twitter.com/RxWkcrEKQf</a></p>",2020-05-03 23:51:39,1588549899,1257095509224939522,/FactorGuatemala/status/1257095509224939522,1157317402931224576,Factor H Guatemala,
11,False,[],[],False,False,1,['https://twitter.com/CanalAntigua/status/1257093416707674118'],,0,[],0,MarcosCahuex___,"Atentos, hoy habrá nuevas disposiciones por parte del Presidente Alejandro Giammattei https://twitter.com/CanalAntigua/status/1257093416707674118 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Atentos, hoy habrá nuevas disposiciones por parte del Presidente Alejandro <strong>Giammattei</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/CanalAntigua/status/1257093416707674118"" dir=""ltr"" href=""https://t.co/GCc7STkTZb"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/CanalAntigua/status/1257093416707674118""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/CanalAntigua/s</span><span class=""invisible"">tatus/1257093416707674118</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-05-03 23:49:49,1588549789,1257095047843131393,/MarcosCahuex___/status/1257095047843131393,134592086,Marcos Cahuex,
12,True,"['MensajeALaNación', 'CadenaNacionalGT', 'CoronavirusGT']",['https://pbs.twimg.com/media/EXIZL-cWsAU30Dz.jpg'],False,False,1,[],,0,[],0,David_JUAREZG_,Mandario Alejandro Giammattei dará un #MensajeALaNación en #CadenaNacionalGT este domingo 03 de mayo a las 19:00hrs sobre el #CoronavirusGT.pic.twitter.com/wrf7JBAWpa,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Mandario Alejandro <strong>Giammattei</strong> dará un <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MensajeALaNaci%C3%B3n?src=hash""><s>#</s><b>MensajeALaNación</b></a> en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CadenaNacionalGT?src=hash""><s>#</s><b>CadenaNacionalGT</b></a> este domingo 03 de mayo a las 19:00hrs sobre el <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CoronavirusGT?src=hash""><s>#</s><b>CoronavirusGT</b></a>.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wrf7JBAWpa"">pic.twitter.com/wrf7JBAWpa</a></p>",2020-05-03 23:49:24,1588549764,1257094941500727296,/David_JUAREZG_/status/1257094941500727296,786041935,||David Juárez|| ®,
13,True,[],['https://pbs.twimg.com/media/EXIY-SnWkAAxWlB.jpg'],False,False,0,[],,0,[],1,Metropolialtens,CADENA NACIONAL | A las 19 horas el presidente Alejandro Giammattei informará acerca de las nuevas disposiciones para esta semana. pic.twitter.com/I4JV7jhfIl,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">CADENA NACIONAL | A las 19 horas el presidente Alejandro <strong>Giammattei</strong> informará acerca de las nuevas disposiciones para esta semana. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/I4JV7jhfIl"">pic.twitter.com/I4JV7jhfIl</a></p>",2020-05-03 23:48:28,1588549708,1257094706376441856,/Metropolialtens/status/1257094706376441856,3254189634,Metrópoli Altense,
14,True,"['Urgente', 'QuédateEnCasapic']",['https://pbs.twimg.com/media/EXIY7UdWkAIO_SY.jpg'],False,False,0,[],,0,[],0,CRN_Noticias,#Urgente Gobierno de Guatemala anuncia cadena nacional con mensaje del presidente Alejandro Giammattei a partir de las 19 horas. #QuédateEnCasapic.twitter.com/JdtjZBQna2,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Urgente?src=hash""><s>#</s><b>Urgente</b></a> Gobierno de Guatemala anuncia cadena nacional con mensaje del presidente Alejandro <strong>Giammattei</strong> a partir de las 19 horas. <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Qu%C3%A9dateEnCasa?src=hash""><s>#</s><b>QuédateEnCasa</b></a><a dir=""ltr"" href=""/hashtag/Qu%C3%A9dateEnCasa?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/StayHome_2020/StayHome_2020.png""/></a></span><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/JdtjZBQna2"">pic.twitter.com/JdtjZBQna2</a></p>",2020-05-03 23:48:16,1588549696,1257094655151308801,/CRN_Noticias/status/1257094655151308801,1081303326,CRNNoticias,
15,True,[],['https://pbs.twimg.com/media/EXIYwAgWsAEklY2.jpg'],True,False,57,[],,1,[],16,iDanielsGarcia,"Nuestro querido presidente Alejandro giammattei, sus ojos 🥺 se ven cansados de contar todo el dinero que nos está hueviando pic.twitter.com/cO88dfwKFq","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Nuestro querido presidente Alejandro <strong>giammattei</strong>, sus ojos <img alt=""🥺"" aria-label=""Emoji: Cara suplicante"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f97a.png"" title=""Cara suplicante""/> se ven cansados de contar todo el dinero que nos está hueviando <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cO88dfwKFq"">pic.twitter.com/cO88dfwKFq</a></p>",2020-05-03 23:47:29,1588549649,1257094461001216001,/iDanielsGarcia/status/1257094461001216001,3187970472,Daniels García 🇬🇹,
16,False,[],[],True,False,36,[],,2,[],10,aquaman_el,"El dia de hoy Rusia se dio cuenta que quito muy rapido sus restricciones.  Mas de 10,000 casos en un dia!!!  Presidente Giammattei actue responsablemente...","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El dia de hoy Rusia se dio cuenta que quito muy rapido sus restricciones.  Mas de 10,000 casos en un dia!!!  Presidente <strong>Giammattei</strong> actue responsablemente...</p>",2020-05-03 23:47:14,1588549634,1257094396941602816,/aquaman_el/status/1257094396941602816,1248696899986735108,El Aquaman Chapin,
17,True,"['CadenaNacional', 'COVID19gt']",['https://pbs.twimg.com/media/EXIYiD1XgAY-qUU.jpg'],False,False,1,[],,0,[],0,LuisAriasGT,"A las 19:00 horas, en #CadenaNacional, el presidente Alejandro Giammattei, dará a conocer las nuevas disposiciones presidenciales para la próxima semana y actualización de datos sobre el #COVID19gt.pic.twitter.com/cU62OrLijz","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">A las 19:00 horas, en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CadenaNacional?src=hash""><s>#</s><b>CadenaNacional</b></a>, el presidente Alejandro <strong>Giammattei</strong>, dará a conocer las nuevas disposiciones presidenciales para la próxima semana y actualización de datos sobre el <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/COVID19gt?src=hash""><s>#</s><b>COVID19gt</b></a>.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cU62OrLijz"">pic.twitter.com/cU62OrLijz</a></p>",2020-05-03 23:46:53,1588549613,1257094309788241921,/LuisAriasGT/status/1257094309788241921,876928945,Luis Arias,
18,False,[],[],False,False,0,['https://www.instagram.com/p/B_vqKHGgSB8LLNoRewqveXGawR15Sr0NhQzHxw0/?igshid=10sw4oowd9jru'],,0,[],0,albert06og,"Presidente Alejandro Giammattei en Cadena Nacional desde Casa Presidencial, con el tema de Coronavirus. en Guatemala City, Guatemala https://www.instagram.com/p/B_vqKHGgSB8LLNoRewqveXGawR15Sr0NhQzHxw0/?igshid=10sw4oowd9jru …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Presidente Alejandro <strong>Giammattei</strong> en Cadena Nacional desde Casa Presidencial, con el tema de Coronavirus. en Guatemala City, Guatemala <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/B_vqKHGgSB8LLNoRewqveXGawR15Sr0NhQzHxw0/?igshid=10sw4oowd9jru"" dir=""ltr"" href=""https://t.co/7VuTjHYzoy"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/B_vqKHGgSB8LLNoRewqveXGawR15Sr0NhQzHxw0/?igshid=10sw4oowd9jru""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/B_vqKHGgSB8L</span><span class=""invisible"">LNoRewqveXGawR15Sr0NhQzHxw0/?igshid=10sw4oowd9jru</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",2020-05-03 23:46:49,1588549609,1257094292994060289,/albert06og/status/1257094292994060289,2728114814,Albert,
19,False,[],[],False,True,0,[],1257077021680812033,0,"[{'screen_name': 'bayonetakalada', 'user_id': '1134890269'}, {'screen_name': 'ddeyvid_', 'user_id': '222295049'}]",0,Cachia_10,"Con lo dicho ayer por Giammattei es más que obvió que el toque de queda va a quedar sin efecto, los buses vuelven a transitar y los centros comerciales a laborar.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Con lo dicho ayer por <strong>Giammattei</strong> es más que obvió que el toque de queda va a quedar sin efecto, los buses vuelven a transitar y los centros comerciales a laborar.</p>",2020-05-03 23:45:30,1588549530,1257093962516574215,/Cachia_10/status/1257093962516574215,2909547957,😍PATÁN😍,
